id,name,url,cat,domain,desc,type,size,freq,license,api,dl,reg,level,compute,projects
PH099,NASA Ames CFD Validation Data,https://www.nas.nasa.gov/publications/datasets.html,Physics,Fluid Dynamics/Aerophysics,CFD validation datasets for aircraft and spacecraft,HDF5/VTK,TB,Periodic,US Gov Public Domain,False,True,False,Research,HPC,Aerodynamic drag prediction | CFD-ML hybrid solvers | Digital twin of aircraft
PH100,OpenAQ Historical Air Quality,https://openaq.org/data,Physics,Atmospheric Chemistry,Historical air quality measurements from global stations,JSON/CSV,TB,Hourly,CC-BY,True,True,False,Beginner,CPU,Air quality forecasting | Pollution source attribution | Health impact modeling
BIO001,NCBI GenBank,https://www.ncbi.nlm.nih.gov/genbank,Biology,Genomics,World's largest repository of annotated nucleotide sequences,FASTA/GenBank/XML,PB,Daily,Public Domain (NCBI),True,True,False,Intermediate,GPU,DNA sequence classification | Phylogenetic tree construction | Genomic foundation model pretraining
BIO002,UniProt Protein Database,https://www.uniprot.org,Biology,Proteomics,Comprehensive protein sequence and functional annotation,FASTA/XML/TSV,TB,Bi-monthly,CC-BY-4.0,True,True,False,Intermediate,GPU,Protein function prediction | Protein embedding models | Zero-shot protein annotation
BIO003,Protein Data Bank (RCSB PDB),https://www.rcsb.org,Biology,Structural Biology,"3D structures of proteins, nucleic acids, and complexes",mmCIF/PDB,TB,Weekly,CC0,True,True,False,Advanced,GPU,Protein structure prediction | Ligand docking with ML | Structure-function relationship modeling
BIO004,Ensembl Genome Browser,https://www.ensembl.org,Biology,Genomics,Annotated genomes for vertebrates and eukaryotes,FASTA/GTF/VCF,TB,Bi-monthly,Apache 2.0/CC-BY,True,True,False,Intermediate,GPU,Gene expression prediction | Regulatory element identification | Cross-species comparison
BIO005,EMBL-EBI Data Resources,https://www.ebi.ac.uk,Biology,Multi-omics,European hub for molecular biology data,FASTA/XML/TSV/HDF5,PB,Continuous,CC-BY-4.0,True,True,False,Intermediate,GPU,Multi-omics integration | Cross-database entity linking | Biomedical knowledge graph
BIO006,Human Cell Atlas,https://www.humancellatlas.org,Biology,Single-cell Genomics,Single-cell transcriptomic atlas of all human cell types,h5ad/Loom/CSV,PB,Continuous,CC-BY-4.0,True,True,True,Advanced,GPU,Cell type classification | Gene regulatory network inference | Single-cell foundation model training
BIO007,Allen Brain Atlas,https://portal.brain-map.org,Biology,Neuroscience,"Gene expression, connectivity, and anatomy maps of brain",TIFF/JSON/CSV,TB,Periodic,CC-BY-NC-4.0,True,True,False,Advanced,GPU,Brain region classification | Gene-anatomy correlation | Connectome modeling
BIO008,GBIF Global Biodiversity,https://www.gbif.org,Biology,Biodiversity/Ecology,2B+ species occurrence records from natural history collections,Darwin Core CSV/JSON,TB,Continuous,CC-BY-4.0/CC0,True,True,False,Beginner,CPU,Species distribution modeling | Biodiversity change detection | Invasion biology prediction
BIO009,GEO Gene Expression Omnibus,https://www.ncbi.nlm.nih.gov/geo,Biology,Transcriptomics,"Repository for functional genomics: microarray, RNA-seq, ChIP-seq",SOFT/CSV,PB,Continuous,Public Domain (NCBI),True,True,False,Intermediate,GPU,Gene expression classification | Differential expression ML | Transcriptomics foundation model
BIO010,ChEMBL Drug Database,https://www.ebi.ac.uk/chembl,Biology,Drug Discovery,Bioactivity database of 2M+ compounds against biological targets,CSV/SQL/SDF,GB,Quarterly,CC-BY-SA-3.0,True,True,False,Intermediate,GPU,Drug activity prediction | Target identification | Generative drug design
BIO011,TCGA Cancer Genome Atlas,https://portal.gdc.cancer.gov,Biology,Cancer Genomics,"Multi-omic cancer data across 33 cancer types, 11k+ patients",VCF/BAM/TSV/HDF5,2.5+ PB,GDC maintains,dbGaP Open Access,True,True,True,Advanced,GPU/HPC,Cancer subtype classification | Survival prediction | Multi-omic integration
BIO012,GTEx Gene Expression,https://gtexportal.org,Biology,Transcriptomics/Genetics,"Tissue-specific expression from 54 human tissues, 1000 donors",CSV/HDF5/VCF,TB,Per release,CC-BY-4.0,True,True,False,Advanced,GPU,eQTL prediction | Tissue-specific expression modeling | Gene regulation foundation model
BIO013,1000 Genomes Project,https://www.internationalgenome.org,Biology,Population Genetics,Whole genome sequences of 2500 individuals from 26 populations,VCF/BAM/CRAM,200+ TB,Final (Phase 3),CC0,True,True,False,Advanced,GPU/HPC,Population structure learning | Ancestry inference | Variant effect prediction
BIO014,OpenNeuro Brain Imaging,https://openneuro.org,Biology,Neuroscience,"Open MRI, fMRI, EEG, MEG datasets from thousands of studies",BIDS/NIfTI/EDF,TB,Continuous,CC0/PDDL,True,True,False,Intermediate,GPU,Brain decoding | fMRI semantic embedding | Brain age prediction
BIO015,TCIA Cancer Imaging Archive,https://www.cancerimagingarchive.net,Biology,Medical Imaging,"Cancer CT, MRI, PET imaging from clinical trials",DICOM,TB,Continuous,CC-BY-3.0,True,True,True,Intermediate,GPU,Tumor segmentation | Radiology report generation | Cancer staging prediction
BIO016,ENCODE Regulatory Elements,https://www.encodeproject.org,Biology,Epigenomics,"ChIP-seq, ATAC-seq, RNA-seq defining the regulatory genome",FASTQ/BED/BigWig,TB,Continuous,CC0,True,True,False,Advanced,GPU,Regulatory element prediction | TF binding site modeling | Chromatin accessibility prediction
BIO017,Human Protein Atlas,https://www.proteinatlas.org,Biology,Proteomics/Cell Biology,Protein expression patterns across all human tissues,XML/TSV/TIFF,TB,Annual,CC-BY-4.0,True,True,False,Intermediate,GPU,Subcellular localization prediction | Tissue-specific proteomics | Protein biomarker discovery
BIO018,HMDB Human Metabolome Database,https://hmdb.ca,Biology,Metabolomics,Metabolite chemical and biological data for 220k+ metabolites,XML/SDF/CSV,GB,Annual,CC-BY-4.0,True,True,False,Intermediate,CPU,Metabolite property prediction | Disease biomarker discovery | Mass spectrometry ML interpretation
BIO019,KEGG Pathways Database,https://www.genome.jp/kegg,Biology,Systems Biology,"Biological pathways, genomes, diseases, drug interactions",KGML/XML/FASTA,GB,Continuous,CC-BY-NC-4.0 (academic free),True,True,False,Intermediate,CPU,Pathway knowledge graph | Drug-target network | Systems biology simulation
BIO020,STRING Protein Interaction Network,https://string-db.org,Biology,Systems Biology,"PPI network: 67M proteins, 4000+ species",TSV/JSON,GB,Per version,CC-BY-4.0,True,True,False,Intermediate,GPU,PPI GNN modeling | Drug target identification | Network module discovery
BIO021,AlphaFold DB (EBI),https://alphafold.ebi.ac.uk,Biology,Structural Biology,Predicted 3D structures for 200M+ proteins from AlphaFold2,mmCIF/PDB,23+ TB,Periodic,CC-BY-4.0,True,True,False,Intermediate,GPU,Structure-function ML | Drug binding site prediction | Evolutionary constraint analysis
BIO022,DrugBank Database,https://go.drugbank.com,Biology,Drug Discovery,Detailed drug and drug-target information for 14k+ drugs,XML/CSV/JSON,GB,Quarterly,CC-BY-NC-4.0 (free academic),True,True,True,Intermediate,CPU,Drug repurposing | Drug interaction prediction | Pharmacology knowledge graph
BIO023,iNaturalist Species Observations,https://www.inaturalist.org,Biology,Biodiversity,Species observations and images from 50M+ citizen scientists,CSV/JSON,TB,Continuous,CC-BY-NC-4.0,True,True,False,Beginner,GPU,Species image classification | Biodiversity distribution modeling | Multi-species detection
BIO024,NCBI RefSeq Reference Sequences,https://www.ncbi.nlm.nih.gov/refseq,Biology,Genomics,"Curated reference sequences for genes, transcripts, proteins",FASTA/GenBank,TB,Bi-monthly,Public Domain (NCBI),True,True,False,Intermediate,GPU,Gene annotation pipeline | Variant annotation | Cross-species ortholog prediction
BIO025,ClinVar Genetic Variants,https://www.ncbi.nlm.nih.gov/clinvar,Biology,Medical Genetics,Clinically significant variants and disease associations,VCF/XML/TSV,GB,Monthly,Public Domain (NCBI),True,True,False,Advanced,GPU,Variant pathogenicity prediction | Clinical decision support | Variant knowledge graph
BIO026,BioGRID Interaction Database,https://thebiogrid.org,Biology,Systems Biology,Genetic and protein interactions curated from literature,TSV/BioPAX,GB,Monthly,MIT,True,True,False,Intermediate,CPU,GNN for interaction prediction | Network-based drug discovery | Synthetic lethality prediction
BIO027,Reactome Pathway Database,https://reactome.org,Biology,Systems Biology,Human biological pathways with curated molecular details,BioPAX/SBML/JSON,GB,Quarterly,CC-BY-4.0,True,True,False,Intermediate,CPU,Pathway enrichment ML | Disease pathway mapping | Knowledge graph reasoning
BIO028,COSMIC Cancer Mutations,https://cancer.sanger.ac.uk/cosmic,Biology,Cancer Genomics,Somatic mutations in human cancer from Wellcome Sanger,VCF/TSV,GB,Quarterly,CC-BY-NC-SA-4.0,True,True,True,Advanced,GPU,Oncogene identification | Mutational signature analysis | Cancer driver gene prediction
BIO029,MIMIC-IV Clinical Database,https://physionet.org/content/mimiciv,Biology,Clinical Medicine,ICU patient records from 70k admissions at Beth Israel,CSV/Parquet,10+ GB,Annual,PhysioNet CC-BY,False,True,True,Advanced,GPU,Mortality prediction | Sepsis early warning | Clinical notes NLP
BIO030,CheXpert Chest X-ray Dataset,https://stanfordmlgroup.github.io/competitions/chexpert,Biology,Medical Imaging,224k chest X-rays labeled for 14 pathology findings,JPEG/CSV,60 GB,Static,Stanford Research License (free),False,True,True,Intermediate,GPU,Multi-label pathology detection | Label uncertainty modeling | Cross-domain radiology AI
BIO031,1000 Genomes Project,https://www.internationalgenome.org,Biology,Population Genetics,"Phase 3: 2504 individuals, 84.7M variants",VCF/BAM,200+ TB,Static,CC0,True,True,False,Advanced,HPC,Population structure learning | GWAS pipeline benchmarking | Variant frequency analysis
BIO032,OpenSNP Personal Genomics,https://opensnp.org,Biology,Personal Genomics,Volunteered SNP genotype data with phenotype annotations,VCF/CSV,GB,Continuous,CC0,True,True,False,Intermediate,CPU,Phenotype prediction from SNPs | Ancestry inference | GWAS sandbox
BIO033,ENA European Nucleotide Archive,https://www.ebi.ac.uk/ena,Biology,Genomics,Raw sequencing reads and assemblies (INSDC partner),FASTQ/FASTA/SRA,PB,Continuous,CC0/Public Domain,True,True,False,Advanced,HPC,Metagenomics assembly | Pathogen surveillance | Sequencing error ML correction
BIO034,NCBI SRA Sequence Read Archive,https://www.ncbi.nlm.nih.gov/sra,Biology,Genomics/Transcriptomics,Largest NGS data repository: 60+ petabases,SRA/FASTQ/BAM,PB,Continuous,Public Domain (NCBI),True,True,False,Advanced,HPC,Metagenomics species ID | RNA-seq differential expression | Genomic assembly benchmarking
BIO035,PRIDE Proteomics Data Exchange,https://www.ebi.ac.uk/pride,Biology,Proteomics,Mass spectrometry-based proteomics data repository,mzML/mzXML/MGF,TB,Continuous,CC0,True,True,False,Advanced,GPU,Peptide identification ML | Protein abundance prediction | De novo sequencing
BIO036,MetaboLights Metabolomics,https://www.ebi.ac.uk/metabolights,Biology,Metabolomics,Repository of metabolomics experiments and reference spectra,mzML/CSV,TB,Continuous,CC-BY-4.0,True,True,False,Intermediate,GPU,Metabolite identification ML | Biomarker discovery | Cross-study metabolomics integration
BIO037,WHO Global Health Observatory,https://www.who.int/data/gho,Biology,Epidemiology,WHO health statistics and epidemiological indicators,CSV/JSON/XML,GB,Annual,CC-BY-NC-SA-3.0 IGO,True,True,False,Beginner,CPU,Disease burden forecasting | Health equity modeling | Epidemiological trend analysis
BIO038,CDC Wonder Public Health Data,https://wonder.cdc.gov,Biology,Epidemiology,"US mortality, natality, cancer, and disease surveillance",CSV/TSV,GB,Annual,US Gov Open Data,True,True,False,Beginner,CPU,Mortality trend forecasting | Cancer incidence modeling | Health disparity analysis
BIO039,ABIDE Brain MRI Autism,http://fcon_1000.projects.nitrc.org/indi/abide,Biology,Neuroscience,Autism Brain Imaging Data Exchange: structural and functional MRI,NIfTI/CSV,TB,Static,CC0,False,True,False,Intermediate,GPU,ASD classification from fMRI | Functional connectivity GNNs | Brain biomarker discovery
BIO040,ClinicalTrials.gov Dataset,https://clinicaltrials.gov/data-api,Biology,Clinical Medicine,400k+ clinical trial records with outcomes and interventions,JSON/CSV/XML,GB,Daily,US Gov Open Data,True,True,False,Beginner,CPU,Trial outcome prediction | Protocol similarity modeling | Drug repurposing graph
BIO041,AlphaFold Protein Structure Database,https://alphafold.ebi.ac.uk,Biology,Structural Biology,200M+ predicted protein structures from DeepMind/EBI,mmCIF/PDB,23+ TB,Periodic,CC-BY-4.0,True,True,False,Intermediate,GPU,Drug binding site prediction | Structure-function ML | Evolutionary constraint analysis
BIO042,SIDER Drug Side Effects,http://sideeffects.embl.de,Biology,Pharmacology,Drug side effect information extracted from drug labels,TSV/CSV,MB,Static,CC-BY-NC-SA-4.0,False,True,False,Beginner,CPU,Adverse drug reaction prediction | Drug safety knowledge graph | Side effect matrix factorization
BIO043,STRING-DB Interaction Network,https://string-db.org,Biology,Systems Biology,Full STRING database download: all organisms and channels,TSV,GB,Annual,CC-BY-4.0,True,True,False,Intermediate,GPU,Network propagation ML | Pathway enrichment | Drug-target GNN
BIO044,SILVA rRNA Database,https://www.arb-silva.de,Biology,Microbiology,"Ribosomal RNA sequences for bacteria, archaea, eukaryotes",FASTA/ARB,GB,Annual,CC-BY-4.0,True,True,False,Intermediate,GPU,Microbial taxonomy classification | Metagenomics OTU clustering | 16S rRNA gene ML
BIO045,CARD Antibiotic Resistance Genes,https://card.mcmaster.ca,Biology,Microbiology,Comprehensive Antibiotic Resistance Database,FASTA/JSON/CSV,GB,Monthly,CC-BY-4.0,True,True,False,Intermediate,GPU,AMR gene detection | Resistance spread modeling | Resistome analysis
BIO046,OBIS Ocean Biodiversity System,https://obis.org,Biology,Marine Biology,Ocean Biodiversity Information System: 100M+ marine records,Darwin Core CSV/JSON,TB,Continuous,CC-BY-4.0,True,True,False,Beginner,CPU,Marine species distribution modeling | Coral reef health monitoring | Oceanographic species prediction
BIO047,NCBI dbSNP Variant Database,https://www.ncbi.nlm.nih.gov/snp,Biology,Population Genetics,900M+ known genetic variants with allele frequencies,VCF/JSON,TB,Continuous,Public Domain (NCBI),True,True,False,Advanced,GPU,Variant effect prediction | GWAS ML pipeline | Population genetics simulation
BIO048,CellPainting Gallery (AWS),https://registry.opendata.aws/cellpainting-gallery,Biology,Cell Biology,Microscopy images of cells with 1000s of compound perturbations,TIFF/Parquet,100+ TB,Periodic,CC-BY-4.0,True,True,False,Advanced,GPU,Morphological profiling | Drug mechanism clustering | Cell phenotype image ML
BIO049,Open Connectome Project (NeuroData),https://neurodata.io,Biology,Connectomics,EM connectome data from mouse and fly brains,HDF5/N5/Zarr,PB,Periodic,CC-BY-4.0,True,True,False,Research,HPC,Neuron segmentation | Synapse detection | Neural circuit GNNs
BIO050,EMDB Electron Microscopy Data,https://www.ebi.ac.uk/emdb,Biology,Structural Biology,3D cryo-EM maps of macromolecular complexes and viruses,MRC/MAP,TB,Weekly,CC0,True,True,False,Advanced,GPU,Cryo-EM resolution enhancement | Particle picking ML | Structure determination pipeline
BIO051,gnomAD Genome Aggregation DB,https://gnomad.broadinstitute.org,Biology,Population Genetics,Allele frequencies across 730k whole genomes/exomes,VCF/Hail,TB,Annual,CC-BY-4.0,True,True,False,Advanced,HPC,Variant pathogenicity prediction | Constraint score modeling | Population genetics ML
BIO052,DepMap Cancer Dependency,https://depmap.org/portal/download,Biology,Cancer Biology,CRISPR screens across 1000+ cancer cell lines,CSV/HDF5,GB,Quarterly,CC-BY-4.0,True,True,False,Advanced,GPU,Cancer dependency prediction | Drug target identification | Synthetic lethality screening
BIO053,BBBC Broad Bioimage Benchmark,https://bbbc.broadinstitute.org,Biology,Cell Biology,Benchmark collection of biological image datasets,TIFF/PNG,TB,Periodic,CC0,False,True,False,Intermediate,GPU,Cell segmentation | Fluorescence image analysis | Phenotypic profiling ML
BIO054,JASPAR Transcription Factor DB,https://jaspar.elixir.no,Biology,Epigenomics,"TF binding site matrices for plants, animals, and fungi",PFM/JSON,GB,Bi-annual,CC-BY-4.0,True,True,False,Intermediate,GPU,TF binding site prediction | Gene regulation ML | cis-regulatory element discovery
BIO055,Ensembl Plants Genome Data,https://plants.ensembl.org,Biology,Plant Genomics,Annotated genomes for 100+ plant species,FASTA/GTF/VCF,TB,Bi-monthly,Apache 2.0,True,True,False,Advanced,GPU,Crop improvement ML | Photosynthesis gene modeling | Plant disease resistance
BIO056,FlyBase Drosophila Database,https://flybase.org,Biology,Model Organism Genetics,"Drosophila melanogaster genetics, genomics, phenotypes",FASTA/VCF/JSON,GB,Monthly,CC-BY-4.0,True,True,False,Intermediate,CPU,Gene function prediction | Developmental pathway modeling | Comparative insect genomics
BIO057,WormBase C. elegans Data,https://www.wormbase.org,Biology,Model Organism Genetics,"C. elegans genetics, genomics, and connectome data",FASTA/GFF3/JSON,GB,Monthly,CC-BY-4.0,True,True,False,Intermediate,CPU,Connectome GNN | Neuronal wiring prediction | Aging biology modeling
BIO058,Mouse Genome Informatics (MGI),https://www.informatics.jax.org,Biology,Model Organism Genetics,"Mouse genetics, phenotypes, and gene expression data",CSV/XML/OBO,GB,Continuous,CC-BY-4.0,True,True,False,Intermediate,CPU,Mouse phenotype prediction | Human disease mouse model mapping | Ortholog function transfer
BIO059,Monarch Initiative Knowledge Graph,https://monarchinitiative.org,Biology,Biomedical Knowledge Graph,Cross-species disease-phenotype-gene knowledge graph,JSON-LD/TSV/RDF,GB,Monthly,CC0,True,True,False,Advanced,GPU,Rare disease gene discovery | Phenotype-driven diagnosis | Cross-species phenotype matching
BIO060,Open Tree of Life,https://tree.opentreeoflife.org,Biology,Evolutionary Biology,Synthesized phylogeny of all known species,Newick/JSON,GB,Annual,CC-BY-4.0,True,True,False,Intermediate,CPU,Phylogenetic ML | Species relatedness graph | Evolutionary rate prediction
BIO061,ImmPort Immunology Data,https://www.immport.org,Biology,Immunology,Immunology data from 500+ clinical and research studies,CSV/HDF5/JSON,TB,Continuous,CC-BY-4.0,True,True,True,Intermediate,GPU,Immune response prediction | Vaccine efficacy modeling | Single-cell immune profiling
BIO062,eBird Bird Observation Data,https://ebird.org/science/use-ebird-data,Biology,Ornithology/Ecology,1B+ bird observations from citizen scientists globally,CSV (EBD),TB,Monthly,CC-BY-NC-4.0,True,True,True,Intermediate,GPU,Bird species distribution modeling | Migration pattern prediction | Biodiversity change detection
BIO063,Pfam/InterPro Protein Families,https://www.ebi.ac.uk/interpro,Biology,Proteomics,Protein domain and family annotations for 100M+ sequences,HMM/FASTA/TSV,TB,Quarterly,CC0,True,True,False,Intermediate,GPU,Domain detection ML | Protein function prediction | Sequence-function foundation models
BIO064,PanglaoDB Single-Cell Atlas,https://panglaodb.se,Biology,Single-Cell Genomics,Curated single-cell RNA-seq datasets with cell type annotations,CSV/h5ad,TB,Periodic,CC-BY-4.0,True,True,False,Advanced,GPU,Automated cell type annotation | Single-cell foundation model training | Trajectory inference
BIO065,PharmGKB Pharmacogenomics,https://www.pharmgkb.org,Biology,Pharmacogenomics,"Drug-gene relationships, pharmacokinetics, clinical annotations",TSV/JSON,GB,Monthly,CC-BY-4.0,True,True,False,Intermediate,CPU,PGx variant classification | Drug dosing prediction | Pharmacogenomics knowledge graph
BIO066,Allen Brain Mouse Connectivity,https://connectivity.brain-map.org,Biology,Neuroscience,Viral tracer connectivity maps of the mouse brain,TIFF/HDF5/JSON,TB,Periodic,CC-BY-NC-SA-4.0,True,True,False,Research,GPU,Connectome reconstruction | Brain region connectivity GNNs | Structural-functional mapping
BIO067,Orphanet Rare Diseases,https://www.orpha.net,Biology,Medical Genetics,Encyclopedia of rare diseases with gene and phenotype data,XML/JSON,GB,Monthly,CC-BY-4.0,True,True,False,Intermediate,CPU,Rare disease diagnosis ML | Gene-phenotype mapping | Disease classification
BIO068,HGNC Gene Nomenclature,https://www.genenames.org,Biology,Genetics,Approved human gene symbols and names for all human genes,TSV/JSON,MB,Continuous,CC-BY-4.0,True,True,False,Beginner,CPU,Gene entity recognition NLP | Cross-database gene mapping | Alias resolution in biomedical text
BIO069,SFARI Autism Gene Database,https://sfari.org/resource/sfari-gene,Biology,Neuroscience/Genetics,Curated ASD gene-evidence scoring,CSV/JSON,MB,Quarterly,CC-BY-4.0,True,True,True,Beginner,CPU,ASD gene prioritization | Neurodevelopmental risk modeling | Gene expression-phenotype ML
BIO070,The Cell Image Library,https://cellimagelibrary.org,Biology,Cell Biology,Fluorescence and electron microscopy images of cells,TIFF/MRC/AVI,TB,Continuous,CC-BY,True,True,False,Intermediate,GPU,Organelle segmentation | Cell phenotype classification | Microscopy foundation model
BIO071,NCBI Virus Database,https://www.ncbi.nlm.nih.gov/labs/virus,Biology,Virology,"Viral sequences, metadata, and phylogenetic data",FASTA/CSV/JSON,GB,Continuous,Public Domain (NCBI),True,True,False,Intermediate,GPU,Viral classification ML | Mutation rate prediction | Pandemic surveillance modeling
BIO072,GISAID Influenza/SARS-CoV-2,https://gisaid.org,Biology,Virology/Epidemiology,Global influenza and SARS-CoV-2 genomic data,FASTA/JSON,TB,Continuous,GISAID License (free registered),True,False,True,Advanced,GPU,Variant evolution prediction | Surveillance signal detection | Immune escape modeling
BIO073,MetaCyc Metabolic Pathways,https://metacyc.org,Biology,Metabolomics/Systems Biology,Curated metabolic pathways from 3000+ organisms,BioPAX/SBML/JSON,GB,Annual,CC-BY-NC-4.0 (free academic),True,True,True,Intermediate,CPU,Flux balance analysis ML | Metabolic pathway prediction | Enzyme function annotation
BIO074,NeuroMorpho.Org Neuron Archive,https://neuromorpho.org,Biology,Neuroscience,Digital reconstructions of neuron morphology from 850+ labs,SWC/ASC,GB,Continuous,CC-BY,True,True,False,Advanced,GPU,Neuron morphology classification | Cell type prediction | Dendritic computation modeling
BIO075,Open Targets Platform,https://platform.opentargets.org,Biology,Drug Discovery,"Target-disease associations with genetics, expression, safety",JSON/Parquet,GB,Quarterly,CC-BY-4.0,True,True,False,Advanced,GPU,Target prioritization ML | Drug-disease knowledge graph | Gene therapy candidate ranking
BIO076,Open Targets Genetics,https://genetics.opentargets.org,Biology,Genetics/Drug Discovery,GWAS variants mapped to genes and traits from 140k+ studies,JSON/Parquet,GB,Quarterly,CC-BY-4.0,True,True,False,Advanced,GPU,GWAS locus-to-gene prediction | Polygenic risk modeling | Drug target genomic evidence
BIO077,Atlas of Living Australia,https://www.ala.org.au,Biology,Biodiversity/Ecology,100M+ species occurrence records for Australia,Darwin Core CSV,TB,Continuous,CC-BY-4.0,True,True,False,Beginner,CPU,Australian endemic species modeling | Invasive species tracking | Ecosystem resilience monitoring
BIO078,INTACT Molecular Interactions,https://www.ebi.ac.uk/intact,Biology,Systems Biology,Curated molecular interaction network from literature,MITAB/PSI-MI XML,GB,Monthly,CC-BY-4.0,True,True,False,Intermediate,GPU,Interaction prediction GNN | Network motif discovery | Drug mechanism modeling
BIO079,Crossref Biomedical Literature,https://api.crossref.org,Biology,Biomedical Literature,100M+ scholarly article metadata for NLP,JSON,TB,Continuous,CC0,True,True,False,Beginner,GPU,Citation network analysis | Scientific topic modeling | Biomedical language model training
BIO080,DDBJ DNA Data Bank Japan,https://www.ddbj.nig.ac.jp,Biology,Genomics,INSDC partner: sequence and annotation data for all organisms,FASTA/GenBank,PB,Continuous,Public Domain,True,True,False,Intermediate,GPU,Cross-database genomic analysis | Microbial diversity modeling | Environmental DNA analysis
BIO081,cBioPortal Multi-omic Cancer,https://www.cbioportal.org,Biology,Cancer Genomics,Visualize and download multi-omic TCGA/GENIE cancer data,TSV/MAF/CSV,GB,Quarterly,CC-BY-4.0,True,True,False,Intermediate,GPU,Pan-cancer mutation analysis | Treatment response prediction | Oncogene co-occurrence modeling
BIO082,HADb Human Ageing Genomic Resources,https://genomics.senescence.info,Biology,Aging Biology,Genes associated with aging and longevity in model organisms,CSV/JSON/FASTA,GB,Annual,CC-BY-4.0,True,True,False,Intermediate,CPU,Aging rate prediction | Longevity gene discovery | Cross-species aging comparison
BIO083,GlyTouCan Glycan Repository,https://glytoucan.org,Biology,Glycobiology,International glycan repository with structure and mass data,GlycoCT/WURCS/JSON,GB,Continuous,CC-BY-4.0,True,True,False,Advanced,CPU,Glycan property prediction | Lectin binding modeling | Glycan knowledge graph
BIO084,SIFTS Structure-Function Mapping,https://www.ebi.ac.uk/pdbe/docs/sifts,Biology,Structural Biology,Residue-level mapping between PDB and sequence databases,XML/CSV,GB,Weekly,CC0,True,True,False,Advanced,GPU,Structure-sequence alignment ML | Domain boundary prediction | Multi-database entity linking
BIO085,COCONUT Natural Products DB,https://coconut.naturalproducts.net,Biology,Natural Products,700k+ natural product structures from global databases,SDF/SMILES/JSON,GB,Annual,CC-BY-4.0,True,True,False,Intermediate,GPU,NP-likeness scoring | Natural product synthesis ML | Bioactivity prediction
BIO086,EPFL Blue Brain Cell Atlas,https://bbp.epfl.ch/nexus,Biology,Neuroscience,Quantitative cell atlas of mouse brain from Blue Brain Project,HDF5/JSON/NIfTI,TB,Periodic,CC-BY-4.0,True,True,False,Research,GPU,Brain cell density modeling | Neurovascular coupling | Digital brain twin
BIO087,EMBL MGnify Metagenomics,https://www.ebi.ac.uk/metagenomics,Biology,Microbiology/Metagenomics,Metagenomic datasets from human microbiome and environment,FASTQ/FASTA/TSV,PB,Continuous,CC-BY-4.0,True,True,False,Advanced,HPC,Gut microbiome disease association | Environmental metagenomics ML | AMR prediction
BIO088,LINCS Drug Perturbation Data,https://lincsportal.ccs.miami.edu,Biology,Chemical Biology,Gene expression profiles after drug perturbations in cell lines,HDF5/CSV,TB,Annual,CC-BY-4.0,True,True,False,Advanced,GPU,Drug mechanism classification | Cell-type specific drug response | Transcriptomics-based drug repurposing
BIO089,IMPC Mouse Phenotyping,https://www.mousephenotype.org,Biology,Functional Genomics,Systematic phenotyping of 7500+ mouse knockout lines,CSV/JSON,GB,Continuous,CC-BY-4.0,True,True,False,Intermediate,GPU,Gene function prediction | Disease model identification | Phenotype-to-genotype mapping
BIO090,NeuroVault Brain Maps,https://neurovault.org,Biology,Neuroscience,Statistical brain maps from fMRI studies (1000+ collections),NIfTI/HDF5,TB,Continuous,CC0,True,True,False,Intermediate,GPU,Brain state decoding | Cross-study meta-analysis | Neuroimage foundation model
BIO091,DisGeNET Gene-Disease Network,https://www.disgenet.org,Biology,Medical Genetics,1M+ gene-disease associations from literature and databases,TSV/JSON/RDF,GB,Annual,CC-BY-NC-4.0,True,True,True,Intermediate,CPU,Gene-disease knowledge graph | Drug repurposing for rare diseases | Multi-disease comorbidity modeling
BIO092,DrugCentral Drug Database,https://drugcentral.org,Biology,Drug Discovery,"Comprehensive drug information with targets, indications",CSV/SQL,GB,Annual,CC-BY-SA-4.0,True,True,False,Intermediate,CPU,Drug indication prediction | Mechanism-of-action classification | Drug-target interaction modeling
BIO093,OMA Orthology Database,https://omabrowser.org,Biology,Comparative Genomics,Orthologous genes across 2700+ genomes,HDF5/OWL,GB,Annual,CC-BY-4.0,True,True,False,Advanced,GPU,Ortholog functional inference | Phylogenomics | Gene family evolution
BIO094,LOTUS Natural Products Knowledge Graph,https://lotus.naturalproducts.net,Biology,Natural Products,750k+ natural product-organism pairs with spectral annotations,CSV/JSON,GB,Annual,CC-BY-4.0,True,True,False,Advanced,GPU,Natural product bioactivity prediction | Metabolite identification | Organism-metabolite knowledge graph
BIO095,GTL Bioenergy Science Data (DOE),https://www.osti.gov/dataexplorer,Biology,Systems Biology,DOE Genomic Science datasets for bioenergy and carbon cycling,FASTA/CSV/HDF5,GB,Periodic,US Gov Open Data,True,True,False,Advanced,GPU,Biofuel pathway prediction | Carbon cycle modeling | Microbial community function ML
BIO096,NCBI dbGaP Genotype-Phenotype,https://www.ncbi.nlm.nih.gov/gap,Biology,Genetics,Genotype-phenotype association studies (open + controlled),VCF/PLINK/CSV,PB,Continuous,dbGaP (open+controlled),True,True,True,Research,HPC,GWAS ML | PRS model training | Multi-trait analysis
